Timestamp,X Position,Y Position
2024-03-22T20:54:59.452Z,303,53
2024-03-22T20:55:03.528Z,93,55
2024-03-22T20:55:05.446Z,709,143
2024-03-22T20:55:06.785Z,458,589
2024-03-22T20:55:07.990Z,960,136
2024-03-22T20:55:09.255Z,1199,155
2024-03-22T20:55:13.166Z,943,851
2024-03-22T20:55:27.048Z,1692,61
2024-03-22T20:55:37.276Z,434,616
2024-03-22T20:55:41.473Z,953,859
2024-03-22T20:55:44.779Z,125,71
2024-03-22T20:55:45.734Z,390,79
2024-03-22T20:57:16.004Z,477,141
2024-03-22T20:57:17.294Z,351,36
2024-03-22T20:57:18.080Z,270,69
2024-03-22T20:57:19.008Z,189,56
2024-03-22T20:57:21.512Z,812,140
2024-03-22T20:57:22.081Z,701,141
2024-03-22T20:57:22.683Z,942,148
2024-03-22T20:57:23.394Z,1099,150
2024-03-22T20:57:23.926Z,1211,144
2024-03-22T20:57:25.284Z,208,581
2024-03-22T20:57:28.621Z,997,268
2024-03-22T20:57:30.848Z,1071,333
2024-03-22T20:57:33.736Z,1135,811
2024-03-22T20:57:35.258Z,937,869
2024-03-22T20:57:36.985Z,1826,55
2024-03-22T20:57:38.852Z,122,37
2024-03-22T20:57:39.427Z,303,56
2024-03-22T20:57:40.229Z,665,129
2024-03-22T20:57:41.853Z,806,146
2024-03-22T20:57:42.512Z,945,151
2024-03-22T20:57:59.207Z,110,51
2024-03-22T20:58:00.308Z,556,620
2024-03-22T20:58:00.759Z,493,585
2024-03-22T20:58:01.032Z,493,585
2024-03-22T20:58:01.396Z,493,585
2024-03-22T20:58:05.787Z,502,558
2024-03-22T20:58:07.001Z,785,445
2024-03-22T20:58:07.791Z,940,857
2024-03-22T20:58:10.351Z,103,47
2024-03-22T20:58:10.927Z,351,60
2024-03-22T20:58:11.679Z,698,150
2024-03-22T20:58:12.375Z,408,70
2024-03-22T20:58:15.523Z,1728,57
2024-03-22T20:58:19.287Z,693,552
2024-03-22T20:58:21.878Z,710,634
2024-03-22T20:58:23.764Z,900,707
2024-03-22T20:58:24.651Z,948,776
2024-03-22T20:58:25.698Z,921,855
2024-03-22T21:02:25.708Z,385,60
2024-03-22T21:02:28.882Z,707,139
2024-03-22T21:02:29.923Z,848,150
2024-03-22T21:02:30.498Z,938,150
2024-03-22T21:02:33.007Z,205,335
2024-03-22T21:02:35.778Z,1726,51
2024-03-22T21:02:38.903Z,1831,65
2024-03-22T21:02:39.695Z,1699,59
2024-03-22T21:02:40.422Z,1802,64
2024-03-22T21:02:40.988Z,1637,57
2024-03-22T21:02:41.544Z,1683,64
2024-03-22T21:02:42.113Z,1781,64
2024-03-22T21:02:42.998Z,1202,146
2024-03-22T21:02:43.559Z,1098,144
2024-03-22T21:02:44.078Z,950,139
2024-03-22T21:02:45.105Z,1290,236
2024-03-22T21:02:45.868Z,1064,336
2024-03-22T21:02:46.456Z,949,439
2024-03-22T21:02:47.003Z,1006,427
2024-03-22T21:02:47.732Z,995,494
2024-03-22T21:02:48.364Z,1017,594
2024-03-22T21:02:49.601Z,1083,809
2024-03-22T21:02:50.654Z,998,772
2024-03-22T21:02:52.546Z,915,848
2024-03-22T21:02:56.890Z,137,60
2024-03-22T21:03:56.977Z,696,152
2024-03-22T21:03:58.305Z,546,63
2024-03-22T21:04:01.071Z,966,858
2024-03-22T21:04:05.017Z,1561,347
2024-03-22T21:04:06.045Z,1010,347
2024-03-22T21:04:07.635Z,1717,78
2024-03-22T21:04:10.203Z,926,708
2024-03-22T21:04:11.229Z,948,769
2024-03-22T21:04:13.034Z,1057,81
2024-03-22T21:04:14.093Z,815,153
2024-03-22T21:04:14.636Z,909,151
2024-03-22T21:04:15.316Z,1099,144
2024-03-22T21:04:16.329Z,104,65
2024-03-22T21:04:18.157Z,1824,42
2024-03-22T21:04:19.322Z,1046,432
2024-03-22T21:04:22.967Z,1077,821
2024-03-22T21:05:17.098Z,714,143
2024-03-22T21:05:18.107Z,819,154
2024-03-22T21:05:19.138Z,955,155
2024-03-22T21:05:20.129Z,1059,153
2024-03-22T21:05:21.049Z,451,588
2024-03-22T21:05:21.351Z,451,588
2024-03-22T21:05:22.201Z,373,578
2024-03-22T21:05:22.991Z,187,590
2024-03-22T21:05:30.367Z,923,857
2024-03-22T21:05:33.690Z,1879,53
2024-03-22T21:05:34.875Z,1067,251
2024-03-22T21:05:35.814Z,986,324
2024-03-22T21:05:36.692Z,1009,250
2024-03-22T21:05:38.798Z,1168,352
2024-03-22T21:05:41.314Z,130,46
2024-03-22T21:05:46.042Z,483,578
2024-03-22T21:05:47.702Z,573,68
2024-03-22T21:05:50.216Z,1744,51
2024-03-22T21:05:52.036Z,944,519
2024-03-22T21:05:54.688Z,954,728
